id,group,title,artist,year,location,public_domain,commons_file,about,note,image_source
1,Myth and enchantment,Ulysses and Argus,Briton Rivière,1885,,y,,"Home after twenty years and disguised as a beggar, Ulysses is recognized by no one except his old dog Argus, who has waited long enough to see him and no longer. Rivière gives the hero rags and bare feet and lets the dog carry the whole scene.",,
2,Myth and enchantment,Ulysses and the Sirens,John William Waterhouse,1891,"National Gallery of Victoria, Melbourne",y,"WATERHOUSE - Ulises y las Sirenas (National Gallery of Victoria, Melbourne, 1891. Óleo sobre lienzo, 100.6 x 202 cm).jpg","Waterhouse paints the Sirens as Homer imagined them, birds with women's heads, circling a ship whose captain has had himself tied to the mast so he can hear them and live.",,Wikimedia Commons
3,Myth and enchantment,Circe Offering the Cup to Ulysses,John William Waterhouse,1891,Gallery Oldham,y,Circe Offering the Cup to Odysseus (2457 x 4023px ed.).jpg,"The sorceress holds out the drugged cup that turned his men into swine. Ulysses appears only in the mirror behind her throne, which puts the viewer exactly where he stands.",,Wikimedia Commons
4,Myth and enchantment,Circe Invidiosa,John William Waterhouse,1892,"Art Gallery of South Australia, Adelaide",y,J. W. Waterhouse - Circe Invidiosa - Google Art Project.jpg,"Circe, jealous of the nymph Scylla, pours poison into the sea where her rival bathes. The water turns a sickly green beneath her.",,Wikimedia Commons
5,Myth and enchantment,Odysseus and Polyphemus,Arnold Böcklin,1896,"Museum of Fine Arts, Boston",y,Arnold Böcklin - Odysseus und Polyphemus (1896).jpg,The blinded Cyclops heaves a boulder at the escaping ship. Böcklin makes the giant part of the cliff itself.,,Wikimedia Commons
6,Myth and enchantment,The Magic Circle,John William Waterhouse,1886,"Tate Britain, London",y,John William Waterhouse - Magic Circle.JPG,"A sorceress traces a circle of fire around herself with a wand, ravens and a skull outside it. The line on the ground is the painting: inside is power, outside is everything else.",,Wikimedia Commons
7,Myth and enchantment,Echo and Narcissus,John William Waterhouse,1903,"Walker Art Gallery, Liverpool",y,John William Waterhouse - Echo and Narcissus - Google Art Project.jpg,"Narcissus leans over the water, lost in his reflection, while the nymph Echo, who can only repeat others' words, watches him and cannot speak for herself.",,Wikimedia Commons
8,Myth and enchantment,The Murder of Pelias by His Daughters,Georges Moreau de Tours,1878,,y,Pelias-Moreau.jpg,Medea persuades the daughters of King Pelias that they can make their father young again by cutting him apart and boiling him. They believe her.,,Wikimedia Commons
9,Myth and enchantment,Clytemnestra,John Collier,1882,"Guildhall Art Gallery, London",y,Collier-Clytemnestra after the murder.jpg,"The queen stands in the doorway just after killing her husband Agamemnon, axe still in hand, unrepentant.",,Wikimedia Commons
10,Myth and enchantment,Lady Lilith,Dante Gabriel Rossetti,1866–1868,Delaware Art Museum,y,Rossetti lady lilith 1867.jpg,"Lilith, in Jewish legend the first wife of Adam, combs her hair and studies herself in a hand mirror. Rossetti makes seduction look like complete self-possession.",,Wikimedia Commons
11,Myth and enchantment,The Garden of Armida,John Collier,c. 1899,Private collection,y,John_Collier_-_The_Garden_Of_Armida.jpg,"Tasso's sorceress, who held crusaders captive in an enchanted garden, recast as a modern party: a serious young man in evening dress surrounded by women raising their glasses. A critic at the time asked what he could possibly be expected to do.",,Wikimedia Commons
12,Myth and enchantment,Faun by Moonlight,Léon Spilliaert,c. 1900,,y,Léon Spilliaert (1900) - Faun bij maneschijn.jpg,"A faun plays his pipes under a pale moon with goats trailing behind him. Spilliaert, a Belgian Symbolist, makes it feel less like myth than a dream you wake from uneasy.",,Wikimedia Commons
13,Myth and enchantment,Lady Godiva,John Collier,1898,"Herbert Art Gallery, Coventry",y,"Lady Godiva (John Collier, c. 1897).jpg","The legend of the noblewoman who rode naked through Coventry to make her husband lift a cruel tax. Collier paints the moment before, her head bowed.",,Wikimedia Commons
14,Myth and enchantment,The Ballad of Lenore,Horace Vernet,1839,"Musée des Beaux-Arts, Nantes",y,"Musée d'arts de Nantes - 222 - Horace Vernet, La ballade de Lénore, 1839.jpg",From Bürger's ballad: a girl who cursed God after her lover died in battle is carried off at night by his ghost on horseback. The dead ride fast.,,Wikimedia Commons
15,Myth and enchantment,The Passing of Robin Hood,N. C. Wyeth,1917,,y,N.C. Wyeth - The Passing of Robin Hood.jpg,"Dying, Robin Hood shoots a last arrow from the window and asks to be buried where it lands. Painted as a book illustration.",,Wikimedia Commons
16,"Angels, devils and the fall",The Fallen Angel,Alexandre Cabanel,1847,"Musée Fabre, Montpellier",y,Alexandre Cabanel - Fallen Angel.jpg,"Lucifer just after the fall, arms folded, with a single tear in an eye full of rage. The angels still in heaven drift above him.",,Wikimedia Commons
17,"Angels, devils and the fall",Lucifer,Franz von Stuck,1890,"National Gallery, Sofia",y,Luzifer (Lucifer) painting by Franz von Stuck 1890 National Gallery in Sofia.jpg,A dark figure crouches in shadow and looks straight out of the canvas with glowing eyes. Few paintings of the devil are this quiet or this unsettling.,,Wikimedia Commons
18,"Angels, devils and the fall",Lucifer in the Giudecca,Filippo Bigioli,1860,,y,,"The last circle of Dante's Inferno, where Lucifer is frozen in ice and chews on history's great traitors.",,
19,"Angels, devils and the fall",Satan Watching the Sleep of Christ,Joseph Noel Paton,1874,,y,Joseph Noel Paton (1821-1901) - Satan Watching the Sleep of Christ - KIRMG-387 - Kirkcaldy Galleries.jpg,"In the wilderness, Satan stands over Christ as he sleeps. The temptation has not started yet.",,Wikimedia Commons
20,"Angels, devils and the fall",The Chess Players,Moritz Retzsch,1831,,y,Frederich August Moritz Retzsch.jpg,"Satan plays a man at chess with his soul as the stake, while an angel stands behind the man. Chess players have argued for generations over whether the position is really lost.",,Wikimedia Commons
21,"Angels, devils and the fall",The Wounded Angel,Hugo Simberg,1903,"Ateneum, Helsinki",y,The Wounded Angel - Hugo Simberg.jpg,Two boys carry an injured angel on a stretcher through a bleak Finnish landscape. Finland voted it the country's national painting in 2006.,,Wikimedia Commons
22,"Angels, devils and the fall",Watchers in the Night,Thomas Blackshear II,1995,,n,,"An angel stands guard over a sleeping child, a small flame above one hand.",,
23,"Angels, devils and the fall",Witches' Sabbath,Francisco Goya,1798,"Museo Lázaro Galdiano, Madrid",y,El Aquelarre.jpg,"A goat devil presides over a circle of witches who offer him children. Goya was mocking superstition, though the painting outlasts the joke.",,Wikimedia Commons
24,"Angels, devils and the fall",The Valley of Tears,Gustave Doré,1883,"Petit Palais, Paris",y,Gustave Doré - La Vallée de larmes.jpg,One of Doré's last paintings: Christ with the cross calls to the suffering gathered in a dark valley.,,Wikimedia Commons
25,"Angels, devils and the fall",Agnus,Konstantin Korobov,2022,,n,,"A white lamb stands calm at the center of a ring of snarling wolves, a halo of gold leaf behind it.",,
26,Scripture,The Last Supper,Leonardo da Vinci,c. 1495–1498,"Santa Maria delle Grazie, Milan",y,Leonardo da Vinci (1452-1519) - The Last Supper (1495-1498).jpg,"The moment after Christ says one of them will betray him, and every figure reacts at once. Painted on a wall in an experimental technique that began failing within Leonardo's lifetime.",,Wikimedia Commons
27,Scripture,The Sacrifice of Isaac,Caravaggio,c. 1603,"Uffizi, Florence",y,Sacrifice of Isaac-Caravaggio (Uffizi).jpg,"An angel grips Abraham's wrist as the knife comes down, and Isaac screams. Caravaggio refuses to make it serene.",,Wikimedia Commons
28,Scripture,Samson and Delilah,Peter Paul Rubens,c. 1609–1610,"National Gallery, London",y,Samson and Delilah by Rubens.jpg,Samson sleeps in Delilah's lap while a man cuts his hair and soldiers wait at the door.,,Wikimedia Commons
29,Scripture,The Return of the Prodigal Son,Bartolomé Esteban Murillo,1667–1670,"National Gallery of Art, Washington",y,Return of the Prodigal Son 1667-1670 Murillo.jpg,"The father embraces his son, who has come home with nothing, while servants bring out new clothes and the fatted calf.",,Wikimedia Commons
30,Scripture,Belshazzar's Feast,John Martin,1821,Yale Center for British Art,y,John Martin - Belshazzar's Feast - Google Art Project.jpg,"The writing appears on the wall during the king's banquet, and Martin makes the architecture itself seem to know the empire is finished.",,Wikimedia Commons
31,Scripture,Daniel's Answer to the King,Briton Rivière,1890,Manchester Art Gallery,y,"Daniel's Answer to the King, by Briton Riviere, GMIII MCAG 1937 123-001.jpg","Daniel stands with his back to us among the lions, looking up toward the king who put him there. The lions are not the ones afraid.",,Wikimedia Commons
32,Scripture,Job and His Friends,Ilya Repin,1869,"State Russian Museum, St Petersburg",y,Job and his friends.jpg,"Job in ruin, visited by the friends who will spend the book explaining why he deserved it.",,Wikimedia Commons
33,Scripture,The First Mourning,William-Adolphe Bouguereau,1888,"Museo Nacional de Bellas Artes, Buenos Aires",y,William Bouguereau - El primer duelo.jpg,"Adam and Eve hold the body of Abel, the first human death, and do not yet have a word for what has happened.",,Wikimedia Commons
34,Scripture,After the Flood,Filippo Palizzi,1864,"Museo di Capodimonte, Naples",y,Filippo Palizzi.jpg,The animals leave the ark and pour down the mountainside into a washed world.,,Wikimedia Commons
35,Scripture,Christ of Saint John of the Cross,Salvador Dalí,1951,"Kelvingrove Art Gallery and Museum, Glasgow",n,,"Christ on the cross seen from above, hanging over a bay at dawn. Dalí based the angle on a drawing by the sixteenth-century mystic Saint John of the Cross.",,
36,History and power,Napoleon Crossing the Alps,Jacques-Louis David,1801,Château de Malmaison,y,"Jacques Louis David - Bonaparte franchissant le Grand Saint-Bernard, 20 mai 1800 - Google Art Project.jpg","Napoleon on a rearing horse, pointing upward, with Hannibal's name carved in the rock at his feet. He actually crossed on a mule. The painting is propaganda, and knows it.",,Wikimedia Commons
37,History and power,Napoleon and Josephine,Harold Hume Piffard,,,y,Harold_Piffard_-_Napoleon_and_Josephine.jpg,"The emperor and the woman he married, crowned and eventually divorced for failing to give him an heir.",,Wikimedia Commons
